source;target
HNC;C
HNC;He
He+;N
He+;C+
He+;He
He+;H
HCN;N
HCN;C+
HCN;He
HCN;H
He+;CN+
He+;He
He+;H
HCN;CN+
HCN;He
HCN;H
He+;N
He+;C+
He+;He
He+;H
HNC;N
HNC;C+
HNC;He
HNC;H
He+;CN+
He+;He
He+;H
HNC;CN+
HNC;He
HNC;H
He+;C2H+
He+;He
He+;H2
C2H3;C2H+
C2H3;He
C2H3;H2
He+;C2H2+
He+;He
He+;H
C2H3;C2H2+
C2H3;He
C2H3;H
He+;O
He+;C+
He+;He
CO;O
CO;C+
CO;He
He+;O
He+;C+
He+;He
CO;O
CO;C+
CO;He
He+;N+
He+;N
He+;He
N2;N+
N2;N
N2;He
He+;CH2+
He+;CH2
He+;He
C2H4;CH2+
C2H4;CH2
C2H4;He
He+;C2H+
He+;He
He+;H2
He+;H
C2H4;C2H+
C2H4;He
C2H4;H2
C2H4;H
He+;C2H2+
He+;He
He+;H2
C2H4;C2H2+
C2H4;He
C2H4;H2
He+;C2H3+
He+;He
He+;H
C2H4;C2H3+
C2H4;He
C2H4;H
He+;O
He+;CH+
He+;He
HCO;O
HCO;CH+
HCO;He
He+;CO
He+;HeH+
HCO;CO
HCO;HeH+
He+;CO+
He+;He
He+;H
HCO;CO+
HCO;He
HCO;H
He+;NH
He+;CH2+
He+;He
CH2NH;NH
CH2NH;CH2+
CH2NH;He
He+;C2H3+
He+;He
He+;H2
C2H5;C2H3+
C2H5;He
C2H5;H2
He+;C2H4+
He+;He
He+;H
C2H5;C2H4+
C2H5;He
C2H5;H
He+;Si+
He+;He
He+;H
SiH;Si+
SiH;He
SiH;H
He+;O+
He+;N
He+;He
NO;O+
NO;N
NO;He
He+;O
He+;N+
He+;He
NO;O
NO;N+
NO;He
He+;O
He+;CH2+
He+;He
H2CO;O
H2CO;CH2+
H2CO;He
He+;CO+
He+;He
He+;H2
H2CO;CO+
H2CO;He
H2CO;H2
He+;HCO+
He+;He
He+;H
H2CO;HCO+
H2CO;He
H2CO;H
He+;C2H2+
He+;He
He+;H2
He+;H2
CH3CH3;C2H2+
CH3CH3;He
CH3CH3;H2
CH3CH3;H2
He+;C2H3+
He+;He
He+;H2
He+;H
CH3CH3;C2H3+
CH3CH3;He
CH3CH3;H2
CH3CH3;H
He+;C2H4+
He+;He
He+;H2
CH3CH3;C2H4+
CH3CH3;He
CH3CH3;H2
He+;Si+
He+;He
He+;H2
SiH2;Si+
SiH2;He
SiH2;H2
He+;SiH+
He+;He
He+;H
SiH2;SiH+
SiH2;He
SiH2;H
He+;NO+
He+;He
He+;H
HNO;NO+
HNO;He
HNO;H
He+;NO
He+;He
He+;H+
HNO;NO
HNO;He
HNO;H+
He+;SiH+
He+;He
He+;H2
SiH3;SiH+
SiH3;He
SiH3;H2
He+;SiH2+
He+;He
He+;H
SiH3;SiH2+
SiH3;He
SiH3;H
He+;P+
He+;He
He+;H
PH;P+
PH;He
PH;H
He+;O+
He+;O
He+;He
O2;O+
O2;O
O2;He
He+;OH+
He+;CH3
He+;He
CH3OH;OH+
CH3OH;CH3
CH3OH;He
He+;OH
He+;CH3+
He+;He
CH3OH;OH
CH3OH;CH3+
CH3OH;He
He+;SiH+
He+;He
He+;H2
He+;H
SiH4;SiH+
SiH4;He
SiH4;H2
SiH4;H
He+;Si+
He+;He
He+;H2
He+;H2
SiH4;Si+
SiH4;He
SiH4;H2
SiH4;H2
He+;P+
He+;He
He+;H2
PH2;P+
PH2;He
PH2;H2
He+;S+
He+;He
He+;H
HS;S+
HS;He
HS;H
He+;S+
He+;He
He+;H2
H2S;S+
H2S;He
H2S;H2
He+;HS+
He+;He
He+;H
H2S;HS+
H2S;He
H2S;H
He+;C2
He+;C+
He+;He
C3;C2
C3;C+
C3;He
He+;Cl+
He+;He
He+;H
HCl;Cl+
HCl;He
HCl;H
He+;C3+
He+;He
He+;H
C3H;C3+
C3H;He
C3H;H
He+;CN
He+;C+
He+;He
C2N;CN
C2N;C+
C2N;He
He+;C3H+
He+;He
He+;H
C3H2;C3H+
C3H2;He
C3H2;H
He+;C3+
He+;He
He+;H2
H2CCC;C3+
H2CCC;He
H2CCC;H2
He+;C3H+
He+;He
He+;H
H2CCC;C3H+
H2CCC;He
H2CCC;H
He+;C3+
He+;He
He+;H2
He+;H
C3H3;C3+
C3H3;He
C3H3;H2
C3H3;H
He+;C3H+
He+;He
He+;H2
C3H3;C3H+
C3H3;He
C3H3;H2
He+;C3H2+
He+;He
He+;H
C3H3;C3H2+
C3H3;He
C3H3;H
He+;CO
He+;C+
He+;He
C2O;CO
C2O;C+
C2O;He
He+;CN
He+;CH2+
He+;He
CH2CN;CN
CH2CN;CH2+
CH2CN;He
He+;C3+
He+;He
He+;H2
He+;H2
CH3CCH;C3+
CH3CCH;He
CH3CCH;H2
CH3CCH;H2
He+;C3H+
He+;He
He+;H2
He+;H
CH3CCH;C3H+
CH3CCH;He
CH3CCH;H2
CH3CCH;H
He+;C3H2+
He+;He
He+;H2
CH3CCH;C3H2+
CH3CCH;He
CH3CCH;H2
He+;H2C3H+
He+;He
He+;H
CH3CCH;H2C3H+
CH3CCH;He
CH3CCH;H
He+;Si
He+;C+
He+;He
SiC;Si
SiC;C+
SiC;He
He+;Si+
He+;C
He+;He
SiC;Si+
SiC;C
SiC;He
He+;CN
He+;CH3+
He+;He
CH3CN;CN
CH3CN;CH3+
CH3CN;He
He+;CN+
He+;CH3
He+;He
CH3CN;CN+
CH3CN;CH3
CH3CN;He
He+;Si+
He+;CH
He+;He
HCSi;Si+
HCSi;CH
HCSi;He
He+;SiC+
He+;He
He+;H
HCSi;SiC+
HCSi;He
HCSi;H
He+;CN
He+;O+
He+;He
OCN;CN
OCN;O+
OCN;He
He+;CN+
He+;O
He+;He
OCN;CN+
OCN;O
OCN;He
He+;CO
He+;CH2+
He+;He
H2CCO;CO
H2CCO;CH2+
H2CCO;He
He+;CO+
He+;CH2
He+;He
H2CCO;CO+
H2CCO;CH2
H2CCO;He
He+;Si+
He+;N
He+;He
SiN;Si+
SiN;N
SiN;He
He+;SiH+
He+;CH
He+;He
SiCH2;SiH+
SiCH2;CH
SiCH2;He
He+;NH2+
He+;CN
He+;He
NH2CN;NH2+
NH2CN;CN
NH2CN;He
He+;HCSi+
He+;He
He+;H
SiCH2;HCSi+
SiCH2;He
SiCH2;H
He+;P
He+;C+
He+;He
CP;P
CP;C+
CP;He
He+;P+
He+;C
He+;He
CP;P+
CP;C
CP;He
He+;SiN+
He+;He
He+;H
HNSi;SiN+
HNSi;He
HNSi;H
He+;SiH+
He+;CH2
He+;He
SiCH3;SiH+
SiCH3;CH2
SiCH3;He
He+;SiCH2+
He+;He
He+;H
SiCH3;SiCH2+
SiCH3;He
SiCH3;H
He+;P+
He+;CH
He+;He
HCP;P+
HCP;CH
HCP;He
He+;PH
He+;C+
He+;He
HCP;PH
HCP;C+
HCP;He
He+;CO
He+;O+
He+;He
CO2;CO
CO2;O+
CO2;He
He+;CO+
He+;O
He+;He
CO2;CO+
CO2;O
CO2;He
He+;O2+
He+;C
He+;He
CO2;O2+
CO2;C
CO2;He
He+;O2
He+;C+
He+;He
CO2;O2
CO2;C+
CO2;He
He+;N2
He+;O+
He+;He
N2O;N2
N2O;O+
N2O;He
He+;N2+
He+;O
He+;He
N2O;N2+
N2O;O
N2O;He
He+;NO
He+;N+
He+;He
N2O;NO
N2O;N+
N2O;He
He+;NO+
He+;N
He+;He
N2O;NO+
N2O;N
N2O;He
He+;HCO
He+;CH3+
He+;He
CH3CHO;HCO
CH3CHO;CH3+
CH3CHO;He
He+;S+
He+;C
He+;He
CS;S+
CS;C
CS;He
He+;S
He+;C+
He+;He
CS;S
CS;C+
CS;He
He+;Si+
He+;O
He+;He
SiO;Si+
SiO;O
SiO;He
He+;Si
He+;O+
He+;He
SiO;Si
SiO;O+
SiO;He
He+;P+
He+;N
He+;He
PN;P+
PN;N
PN;He
He+;CS
He+;He
He+;H+
HCS;CS
HCS;He
HCS;H+
He+;CS+
He+;He
He+;H
HCS;CS+
HCS;He
HCS;H
He+;PH
He+;CH2+
He+;He
CH2PH;PH
CH2PH;CH2+
CH2PH;He
He+;PH+
He+;CH2
He+;He
CH2PH;PH+
CH2PH;CH2
CH2PH;He
He+;H2CO
He+;CH3+
He+;He
He+;H
CH3OCH3;H2CO
CH3OCH3;CH3+
CH3OCH3;He
CH3OCH3;H
He+;C2H5+
He+;OH
He+;He
C2H5OH;C2H5+
C2H5OH;OH
C2H5OH;He
He+;S
He+;N+
He+;He
NS;S
NS;N+
NS;He
He+;S+
He+;N
He+;He
NS;S+
NS;N
NS;He
He+;S
He+;CH2+
He+;He
H2CS;S
H2CS;CH2+
H2CS;He
He+;S+
He+;CH2
He+;He
H2CS;S+
H2CS;CH2
H2CS;He
He+;CS+
He+;He
He+;H2
H2CS;CS+
H2CS;He
H2CS;H2
He+;SiOH+
He+;He
He+;H
H2SiO;SiOH+
H2SiO;He
H2SiO;H
He+;P+
He+;O
He+;He
PO;P+
PO;O
PO;He
He+;Cl
He+;C+
He+;He
CCl;Cl
CCl;C+
CCl;He
He+;PH+
He+;O
He+;He
HPO;PH+
HPO;O
HPO;He
He+;PO+
He+;He
He+;H
HPO;PO+
HPO;He
HPO;H
He+;C2+
He+;C2
He+;He
C4;C2+
C4;C2
C4;He
He+;C3
He+;C+
He+;He
C4;C3
C4;C+
C4;He
He+;C3+
He+;C
He+;He
C4;C3+
C4;C
C4;He
He+;S
He+;O+
He+;He
SO;S
SO;O+
SO;He
He+;S+
He+;O
He+;He
SO;S+
SO;O
SO;He
He+;C2H+
He+;C2
He+;He
C4H;C2H+
C4H;C2
C4H;He
He+;C4+
He+;He
He+;H
C4H;C4+
C4H;He
C4H;H
He+;CN
He+;C2+
He+;He
C3N;CN
C3N;C2+
C3N;He
He+;C2H+
He+;C2H
He+;He
H2CCCC;C2H+
H2CCCC;C2H
H2CCCC;He
He+;C4+
He+;He
He+;H2
H2CCCC;C4+
H2CCCC;He
H2CCCC;H2
He+;C4H+
He+;He
He+;H
H2CCCC;C4H+
H2CCCC;He
H2CCCC;H
He+;CN
He+;C2H+
He+;He
HC3N;CN
HC3N;C2H+
HC3N;He
He+;C3H+
He+;N
He+;He
HC3N;C3H+
HC3N;N
HC3N;He
He+;C2N+
He+;CH
He+;He
HC3N;C2N+
HC3N;CH
HC3N;He
He+;C3N+
He+;He
He+;H
HC3N;C3N+
HC3N;He
HC3N;H
He+;C3H2+
He+;CH
He+;He
C4H3;C3H2+
C4H3;CH
C4H3;He
He+;C3H3+
He+;C
He+;He
C4H3;C3H3+
C4H3;C
C4H3;He
He+;C4H2+
He+;He
He+;H
C4H3;C4H2+
C4H3;He
C4H3;H
He+;Cl+
He+;O
He+;He
ClO;Cl+
ClO;O
ClO;He
He+;CO
He+;C2+
He+;He
C3O;CO
C3O;C2+
C3O;He
He+;C3+
He+;O
He+;He
C3O;C3+
C3O;O
C3O;He
He+;CN+
He+;CN
He+;He
NCCN;CN+
NCCN;CN
NCCN;He
He+;Si+
He+;C2
He+;He
SiC2;Si+
SiC2;C2
SiC2;He
He+;HCN
He+;C2H2+
He+;He
CH2CHCN;HCN
CH2CHCN;C2H2+
CH2CHCN;He
He+;C2H3+
He+;CN
He+;He
CH2CHCN;C2H3+
CH2CHCN;CN
CH2CHCN;He
He+;H2C3H+
He+;N
He+;He
CH2CHCN;H2C3H+
CH2CHCN;N
CH2CHCN;He
He+;HC3N+
He+;He
He+;H2
CH2CHCN;HC3N+
CH2CHCN;He
CH2CHCN;H2
He+;HC3NH+
He+;He
He+;H
CH2CHCN;HC3NH+
CH2CHCN;He
CH2CHCN;H
He+;Si+
He+;C2H
He+;He
SiC2H;Si+
SiC2H;C2H
SiC2H;He
He+;SiC2+
He+;He
He+;H
SiC2H;SiC2+
SiC2H;He
SiC2H;H
He+;Si
He+;CN+
He+;He
SiNC;Si
SiNC;CN+
SiNC;He
He+;SiH+
He+;C2H
He+;He
SiC2H2;SiH+
SiC2H2;C2H
SiC2H2;He
He+;SiC2H+
He+;He
He+;H
SiC2H2;SiC2H+
SiC2H2;He
SiC2H2;H
He+;P+
He+;C2
He+;He
CCP;P+
CCP;C2
CCP;He
He+;CP
He+;C+
He+;He
CCP;CP
CCP;C+
CCP;He
He+;CP+
He+;CH
He+;He
HC2P;CP+
HC2P;CH
HC2P;He
He+;CP
He+;CH+
He+;He
HC2P;CP
HC2P;CH+
HC2P;He
He+;S+
He+;C2
He+;He
C2S;S+
C2S;C2
C2S;He
He+;S
He+;C2+
He+;He
C2S;S
C2S;C2+
C2S;He
He+;CS
He+;C+
He+;He
C2S;CS
C2S;C+
C2S;He
He+;CS+
He+;C
He+;He
C2S;CS+
C2S;C
C2S;He
He+;CH3CO+
He+;CH3
He+;He
CH3COCH3;CH3CO+
CH3COCH3;CH3
CH3COCH3;He
He+;HCO2+
He+;CH3
He+;He
HCOOCH3;HCO2+
HCOOCH3;CH3
HCOOCH3;He
He+;C3+
He+;C2
He+;He
C5;C3+
C5;C2
C5;He
He+;C4+
He+;C
He+;He
C5;C4+
C5;C
C5;He
He+;S+
He+;CO
He+;He
OCS;S+
OCS;CO
OCS;He
He+;S
He+;CO+
He+;He
OCS;S
OCS;CO+
OCS;He
He+;CS+
He+;O
He+;He
OCS;CS+
OCS;O
OCS;He
He+;CS
He+;O+
He+;He
OCS;CS
OCS;O+
OCS;He
He+;O2
He+;Si+
He+;He
SiO2;O2
SiO2;Si+
SiO2;He
He+;S
He+;Si+
He+;He
SiS;S
SiS;Si+
SiS;He
He+;S+
He+;Si
He+;He
SiS;S+
SiS;Si
SiS;He
He+;C3H+
He+;C2
He+;He
C5H;C3H+
C5H;C2
C5H;He
He+;C5+
He+;He
He+;H
C5H;C5+
C5H;He
C5H;H
He+;C3H+
He+;C2H
He+;He
C5H2;C3H+
C5H2;C2H
C5H2;He
He+;C5+
He+;He
He+;H2
C5H2;C5+
C5H2;He
C5H2;H2
He+;C5H+
He+;He
He+;H
C5H2;C5H+
C5H2;He
C5H2;H
He+;S+
He+;O2
He+;He
SO2;S+
SO2;O2
SO2;He
He+;SO+
He+;O
He+;He
SO2;SO+
SO2;O
SO2;He
He+;C5H2+
He+;He
He+;H2
CH3C4H;C5H2+
CH3C4H;He
CH3C4H;H2
He+;C5H3+
He+;He
He+;H
CH3C4H;C5H3+
CH3C4H;He
CH3C4H;H
He+;SiC2+
He+;C
He+;He
SiC3;SiC2+
SiC3;C
SiC3;He
He+;S+
He+;S
He+;He
S2;S+
S2;S
S2;He
He+;C3N
He+;CH3+
He+;He
CH3C3N;C3N
CH3C3N;CH3+
CH3C3N;He
He+;C3H
He+;Si+
He+;He
SiC3H;C3H
SiC3H;Si+
SiC3H;He
He+;SiC3+
He+;He
He+;H
SiC3H;SiC3+
SiC3H;He
SiC3H;H
He+;HS
He+;S+
He+;He
HS2;HS
HS2;S+
HS2;He
He+;S2+
He+;He
He+;H
HS2;S2+
HS2;He
HS2;H
He+;HS+
He+;HS
He+;He
H2S2;HS+
H2S2;HS
H2S2;He
He+;HS2+
He+;He
He+;H
H2S2;HS2+
H2S2;He
H2S2;H
He+;C3
He+;P+
He+;He
C3P;C3
C3P;P+
C3P;He
He+;C3+
He+;P
He+;He
C3P;C3+
C3P;P
C3P;He
He+;CS
He+;C2+
He+;He
C3S;CS
C3S;C2+
C3S;He
He+;CS+
He+;C2
He+;He
C3S;CS+
C3S;C2
C3S;He
He+;C4+
He+;C2
He+;He
C6;C4+
C6;C2
C6;He
He+;C5+
He+;C
He+;He
C6;C5+
C6;C
C6;He
He+;C4H+
He+;C2
He+;He
C6H;C4H+
C6H;C2
C6H;He
He+;C6+
He+;He
He+;H
C6H;C6+
C6H;He
C6H;H
He+;C4+
He+;CN
He+;He
C5N;C4+
C5N;CN
C5N;He
He+;C4H+
He+;C2H
He+;He
C6H2;C4H+
C6H2;C2H
C6H2;He
He+;C6+
He+;He
He+;H2
C6H2;C6+
C6H2;He
C6H2;H2
He+;C6H+
He+;He
He+;H
C6H2;C6H+
C6H2;He
C6H2;H
He+;C4H+
He+;CN
He+;He
HC5N;C4H+
HC5N;CN
HC5N;He
He+;C3N
He+;C2H+
He+;He
HC5N;C3N
HC5N;C2H+
HC5N;He
He+;SiC3+
He+;C
He+;He
SiC4;SiC3+
SiC4;C
SiC4;He
He+;C5H5+
He+;CH
He+;He
C6H6;C5H5+
C6H6;CH
C6H6;He
He+;C6H5+
He+;He
He+;H
C6H6;C6H5+
C6H6;He
C6H6;H
He+;CCP+
He+;C2
He+;He
C4P;CCP+
C4P;C2
C4P;He
He+;CCP
He+;C2+
He+;He
C4P;CCP
C4P;C2+
C4P;He
He+;CS
He+;C3+
He+;He
C4S;CS
C4S;C3+
C4S;He
He+;CS+
He+;C3
He+;He
C4S;CS+
C4S;C3
C4S;He
He+;C5+
He+;C2
He+;He
C7;C5+
C7;C2
C7;He
He+;C6+
He+;C
He+;He
C7;C6+
C7;C
C7;He
He+;C5H+
He+;C2
He+;He
C7H;C5H+
C7H;C2
C7H;He
He+;C7+
He+;He
He+;H
C7H;C7+
C7H;He
C7H;H
He+;C5H+
He+;C2H
He+;He
C7H2;C5H+
C7H2;C2H
C7H2;He
He+;C7+
He+;He
He+;H2
C7H2;C7+
C7H2;He
C7H2;H2
He+;C7H+
He+;He
He+;H
C7H2;C7H+
C7H2;He
C7H2;H
He+;C7H2+
He+;He
He+;H2
C7H4;C7H2+
C7H4;He
C7H4;H2
He+;C7H3+
He+;He
He+;H
C7H4;C7H3+
C7H4;He
C7H4;H
He+;C5N
He+;CH3+
He+;He
CH3C5N;C5N
CH3C5N;CH3+
CH3C5N;He
He+;C6+
He+;C2
He+;He
C8;C6+
C8;C2
C8;He
He+;C7+
He+;C
He+;He
C8;C7+
C8;C
C8;He
He+;C6H+
He+;C2
He+;He
C8H;C6H+
C8H;C2
C8H;He
He+;C8+
He+;He
He+;H
C8H;C8+
C8H;He
C8H;H
He+;C6+
He+;CN
He+;He
C7N;C6+
C7N;CN
C7N;He
He+;C6H+
He+;C2H
He+;He
C8H2;C6H+
C8H2;C2H
C8H2;He
He+;C8+
He+;He
He+;H2
C8H2;C8+
C8H2;He
C8H2;H2
He+;C8H+
He+;He
He+;H
C8H2;C8H+
C8H2;He
C8H2;H
He+;C6H+
He+;CN
He+;He
HC7N;C6H+
HC7N;CN
HC7N;He
He+;C7+
He+;C2
He+;He
C9;C7+
C9;C2
C9;He
He+;C8+
He+;C
He+;He
C9;C8+
C9;C
C9;He
He+;C7H+
He+;C2
He+;He
C9H;C7H+
C9H;C2
C9H;He
He+;C9+
He+;He
He+;H
C9H;C9+
C9H;He
C9H;H
He+;C7H+
He+;C2H
He+;He
C9H2;C7H+
C9H2;C2H
C9H2;He
He+;C9+
He+;He
He+;H2
C9H2;C9+
C9H2;He
C9H2;H2
He+;C9H+
He+;He
He+;H
C9H2;C9H+
C9H2;He
C9H2;H
He+;C7N
He+;CH3+
He+;He
CH3C7N;C7N
CH3C7N;CH3+
CH3C7N;He
He+;C8+
He+;CN
He+;He
C9N;C8+
C9N;CN
C9N;He
He+;C8H+
He+;CN
He+;He
HC9N;C8H+
HC9N;CN
HC9N;He
C+;C2+
C+;H
CH;C2+
CH;H
C;C2+
C;H
CH+;C2+
CH+;H
C+;C2H+
C+;H
CH2;C2H+
CH2;H
C;C2H+
C;H
CH2+;C2H+
CH2+;H
C;N
C;CH+
NH+;N
NH+;CH+
C+;CN+
C+;H
NH;CN+
NH;H
C+;C2H+
C+;H2
CH3;C2H+
CH3;H2
C+;C2H2+
C+;H
CH3;C2H2+
CH3;H
C;C2H+
C;H2
CH3+;C2H+
CH3+;H2
C+;HCN+
C+;H
NH2;HCN+
NH2;H
C+;C2H2+
C+;H2
CH4;C2H2+
CH4;H2
C+;C2H3+
C+;H
CH4;C2H3+
CH4;H
C;O
C;CH+
OH+;O
OH+;CH+
C+;CO+
C+;H
OH;CO+
OH;H
C+;HCN+
C+;H2
NH3;HCN+
NH3;H2
C+;H2NC+
C+;H
NH3;H2NC+
NH3;H
C;CH4
C;CH+
CH5+;CH4
CH5+;CH+
C;OH
C;CH+
H2O+;OH
H2O+;CH+
C+;HCO+
C+;H
H2O;HCO+
H2O;H
C+;HOC+
C+;H
H2O;HOC+
H2O;H
C;H2NC+
C;H2
NH4+;H2NC+
NH4+;H2
C;HCO+
C;H2
H3O+;HCO+
H3O+;H2
C+;CF+
C+;H
HF;CF+
HF;H
C+;C3+
C+;H
C2H;C3+
C2H;H
C;C3+
C;H
C2H+;C3+
C2H+;H
C+;C3H+
C+;H
C2H2;C3H+
C2H2;H
C;C3H+
C;H
C2H2+;C3H+
C2H2+;H
C;CN
C;CH+
HCN+;CN
HCN+;CH+
C+;CNC+
C+;H
HCN;CNC+
HCN;H
C+;C2N+
C+;H
HNC;C2N+
HNC;H
C;C3H+
C;H2
C2H3+;C3H+
C2H3+;H2
C+;C3H2+
C+;H
C2H3;C3H2+
C2H3;H
C;C3H2+
C;H
C2H3+;C3H2+
C2H3+;H
C+;C3H+
C+;H2
C+;H
C2H4;C3H+
C2H4;H2
C2H4;H
C+;H2C3H+
C+;H
C2H4;H2C3H+
C2H4;H
C;H2C3H+
C;H
C2H4+;H2C3H+
C2H4+;H
C+;C2H3+
C+;CH
C2H4;C2H3+
C2H4;CH
C+;C3H2+
C+;H2
C2H4;C3H2+
C2H4;H2
C;C3H2+
C;H2
C2H4+;C3H2+
C2H4+;H2
C+;CO
C+;CH+
HCO;CO
HCO;CH+
C;CO
C;CH+
HCO+;CO
HCO+;CH+
C;N2
C;CH+
HN2+;N2
HN2+;CH+
C+;H2C3H+
C+;H2
C2H5;H2C3H+
C2H5;H2
C+;SiC+
C+;H
SiH;SiC+
SiH;H
C;SiC+
C;H
SiH+;SiC+
SiH+;H
C+;C2H2+
C+;CH4
CH3CH3;C2H2+
CH3CH3;CH4
C+;C2H3+
C+;CH3
CH3CH3;C2H3+
CH3CH3;CH3
C+;C2H4+
C+;CH2
CH3CH3;C2H4+
CH3CH3;CH2
C+;C2H5+
C+;CH
CH3CH3;C2H5+
CH3CH3;CH
C+;C3H2+
C+;H2
C+;H2
CH3CH3;C3H2+
CH3CH3;H2
CH3CH3;H2
C+;C3H3+
C+;H2
C+;H
CH3CH3;C3H3+
CH3CH3;H2
CH3CH3;H
C-;CN-
C-;O
NO;CN-
NO;O
C+;CO
C+;CH2+
H2CO;CO
H2CO;CH2+
C+;HCO+
C+;CH
H2CO;HCO+
H2CO;CH
C+;SiC+
C+;H2
SiH2;SiC+
SiH2;H2
C+;HCSi+
C+;H
SiH2;HCSi+
SiH2;H
C;HCSi+
C;H
SiH2+;HCSi+
SiH2+;H
C;NO
C;CH+
HNO+;NO
HNO+;CH+
C+;SiCH2+
C+;H
SiH3;SiCH2+
SiH3;H
C;SiCH2+
C;H
SiH3+;SiCH2+
SiH3+;H
C+;HCSi+
C+;H2
SiH3;HCSi+
SiH3;H2
C+;CO+
C+;O
O2;CO+
O2;O
C+;CO
C+;O+
O2;CO
O2;O+
C-;CO
C-;O-
O2;CO
O2;O-
C;CO+
C;O
O2+;CO+
O2+;O
C+;HCO
C+;CH3+
CH3OH;HCO
CH3OH;CH3+
C+;H3CO+
C+;CH
CH3OH;H3CO+
CH3OH;CH
C+;SiCH2+
C+;H2
SiH4;SiCH2+
SiH4;H2
C+;SiCH3+
C+;H
SiH4;SiCH3+
SiH4;H
C;SiCH2+
C;H2
SiH4+;SiCH2+
SiH4+;H2
C;O2
C;CH+
O2H+;O2
O2H+;CH+
C+;CS+
C+;H
HS;CS+
HS;H
C;CS+
C;H
HS+;CS+
HS+;H
C;SiCH4+
C;H
SiH5+;SiCH4+
SiH5+;H
C+;HCS+
C+;H
H2S;HCS+
H2S;H
C;HCS+
C;H
H2S+;HCS+
H2S+;H
C+;CCl+
C+;H
HCl;CCl+
HCl;H
C+;C4+
C+;H
C3H;C4+
C3H;H
C+;C4H+
C+;H
C3H2;C4H+
C3H2;H
C+;C4H+
C+;H
H2CCC;C4H+
H2CCC;H
C;C4H+
C;H
C3H2+;C4H+
C3H2+;H
C+;C4+
C+;H2
C3H2;C4+
C3H2;H2
C+;C4+
C+;H2
H2CCC;C4+
H2CCC;H2
C;C4+
C;H2
C3H2+;C4+
C3H2+;H2
C+;C4H+
C+;H2
C3H3;C4H+
C3H3;H2
C;C4H+
C;H2
C3H3+;C4H+
C3H3+;H2
C;C4H+
C;H2
H2C3H+;C4H+
H2C3H+;H2
C+;H2C3H+
C+;C
C3H3;H2C3H+
C3H3;C
C+;C4H2+
C+;H
C3H3;C4H2+
C3H3;H
C;C4H2+
C;H
C3H3+;C4H2+
C3H3+;H
C;C4H2+
C;H
H2C3H+;C4H2+
H2C3H+;H
C+;C2H2+
C+;C2H2
CH3CCH;C2H2+
CH3CCH;C2H2
C+;H2C3H+
C+;CH
CH3CCH;H2C3H+
CH3CCH;CH
C;C4H3+
C;H
CH3CCH+;C4H3+
CH3CCH+;H
C+;C2H3+
C+;C2H
CH3CCH;C2H3+
CH3CCH;C2H
C+;C4H2+
C+;H2
CH3CCH;C4H2+
CH3CCH;H2
C;C4H2+
C;H2
CH3CCH+;C4H2+
CH3CCH+;H2
C+;Si+
C+;C2
SiC;Si+
SiC;C2
C+;C2H3+
C+;CN
CH3CN;C2H3+
CH3CN;CN
C;C4H3+
C;H2
C3H5+;C4H3+
C3H5+;H2
C+;SiC2+
C+;H
HCSi;SiC2+
HCSi;H
C+;CO+
C+;CN
OCN;CO+
OCN;CN
C+;SiC+
C+;N
SiN;SiC+
SiN;N
C+;SiC2H+
C+;H
SiCH2;SiC2H+
SiCH2;H
C;Si+
C;C2H2
SiCH2+;Si+
SiCH2+;C2H2
C;SiC2H+
C;H
SiCH2+;SiC2H+
SiCH2+;H
C+;SiC2+
C+;H2
SiCH2;SiC2+
SiCH2;H2
C;SiC2+
C;H2
SiCH2+;SiC2+
SiCH2+;H2
C+;SiNC+
C+;H
HNSi;SiNC+
HNSi;H
C+;SiC2H+
C+;H2
SiCH3;SiC2H+
SiCH3;H2
C+;SiC2H2+
C+;H
SiCH3;SiC2H2+
SiCH3;H
C;SiC2H2+
C;H
SiCH3+;SiC2H2+
SiCH3+;H
C+;CCP+
C+;H
HCP;CCP+
HCP;H
C;CCP+
C;H
HCP+;CCP+
HCP+;H
C+;CO+
C+;CO
CO2;CO+
CO2;CO
C-;CO
C-;CO
C-;e-
CO2;CO
CO2;CO
CO2;e-
C+;CH3CO+
C+;CH
CH3CHO;CH3CO+
CH3CHO;CH
C+;Si+
C+;CO
SiO;Si+
SiO;CO
C;Si+
C;CO
SiO+;Si+
SiO+;CO
C+;NO+
C+;CN
N2O;NO+
N2O;CN
C;SiNC+
C;H2
SiNH2+;SiNC+
SiNH2+;H2
C;SiNCH+
C;H
SiNH2+;SiNCH+
SiNH2+;H
C;SiC2H3+
C;H
SiCH4+;SiC2H3+
SiCH4+;H
C;CO2
C;CH+
HCO2+;CO2
HCO2+;CH+
C+;HC2P+
C+;H2
CH2PH;HC2P+
CH2PH;H2
C+;H3CO+
C+;C2H3
C2H5OH;H3CO+
C2H5OH;C2H3
C+;CS+
C+;N
NS;CS+
NS;N
C+;CS
C+;CH2+
H2CS;CS
H2CS;CH2+
C+;S+
C+;CO
SO;S+
SO;CO
C+;S
C+;CO+
SO;S
SO;CO+
C+;CS+
C+;O
SO;CS+
SO;O
C+;C5+
C+;H
C4H;C5+
C4H;H
C;C5+
C;H
C4H+;C5+
C4H+;H
C+;C3H+
C+;C2H
H2CCCC;C3H+
H2CCCC;C2H
C+;C5H+
C+;H
H2CCCC;C5H+
H2CCCC;H
C;C5+
C;H2
C4H2+;C5+
