 184 CH2      NO                HCN      OH                 8.32e-13    0.00    1443.0M 1100 2600ANIST
 185 CH2      NO                H2CO     N                  2.70e-12    0.00    3500.0L  116  300C    
 186 CH2      H2CO              HCO      CH3                3.30e-13    0.00    3270.0L  109  300C    
 187 CH2      HNO               NO       CH3                1.73e-11    0.50       0.0L   10  300C    
 188 CH2      O2                CO2      H        H         3.65e-11   -3.30    1443.0C 1000 1828BNIST
 189 CH2      O2                CO2      H2                 2.92e-11   -3.30    1443.0C 1000 1828BNIST
 190 CH2      O2                HCO      OH                 4.10e-11    0.00     750.0M  300 2500CNIST
 191 CH2      O2                H2CO     O                  3.65e-11   -3.30    1443.0C 1000 1828BNIST
 192 CH2      O2                CO       H2O                2.48e-10   -3.30    1443.0C 1000 1828BNIST
 193 CH2      S                 HCS      H                  3.98e-11    0.50       0.0L   10  300CPH82
 194 NH       NH                N2       H        H         1.16e-09    0.00       0.0M  298  298ANIST
 195 NH       NH                N2       H2                 1.70e-11    0.00       0.0L   10  300C    
 197 NH       O                 OH       N                  1.16e-11    0.00       0.0L  250 3000ANIST
 198 NH       O                 NO       H                  1.16e-10    0.00       0.0L  250 3000ANIST
 199 NH       OH                HNO      H                  3.32e-11    0.00       0.0L  298 3000ANIST
 200 NH       OH                NH2      O                  2.93e-12    0.10    5800.0L  298 3000ANIST
 201 NH       OH                H2O      N                  3.11e-12    1.20       0.0L  298 3000ANIST
 202 NH       H2O               OH       NH2                1.83e-12    1.60   14090.0L  600 3000ANIST
 203 NH       CN                HCN      N                  2.94e-12    0.50    1000.0L   33  300C    
 204 NH       NO                N2O      H                  1.16e-10   -1.03     420.0C  295 4000BNIST
 205 NH       NO                N2       O        H         5.00e-11    0.00       0.0M  300 2500CNIST
 206 NH       NO                N2       OH                 1.46e-11   -0.58      37.0L  295 4000ANIST
 207 NH       S                 HS       N                  1.73e-11    0.50    4000.0L  133  300CMI84
 208 NH       S                 NS       H                  1.73e-11    0.50       0.0L   10  300CMI84
 209 NH       NO2               HNO      NO                 5.72e-12    0.50    2500.0L   83  300C    
 210 NH       NO2               N2O      OH                 1.44e-13    0.00   -1140.0L  200  300ANIST
 211 CH3      CH3               CH4      CH2                7.13e-12    0.00    5052.0M 1950 2300ANIST
 212 CH3      CH3               C2H4     H2                 1.66e-08    0.00   16556.0M  300 2651CNIST
 213 CH3      CH3               C2H5     H                  1.46e-11    0.10    5335.0L  200 3000ANIST
 214 CH3      O                 H2CO     H                  1.30e-10    0.00       0.0L   10 2500ANIST
 215 CH3      OH                CH4      O                  3.27e-14    2.20    2240.0L  298 2500ANIST
 216 CH3      OH                H2O      CH2                1.20e-10    0.00    1400.0L  300 1000ANIST
 217 CH3      OH                H2CO     H2                 1.70e-12    0.00       0.0M  700  700ANIST
 218 CH3      OH                HOCH     H2                 9.10e-11    0.00    1500.0M  300  700ANIST
 219 CH3      NH3               CH4      NH2                9.55e-14    0.00    4890.0M  300 2500CNIST
 220 CH3      H2O               OH       CH4                2.30e-15    3.47    6681.0L  300 3000ANIST
 221 CH3      CN                HCN      CH2                9.21e-12    0.70    1500.0L   50  300C    
 222 CH3      Si                SiCH2    H                  4.00e-11    0.50       0.0L   10  300CHM89
 223 CH3      HCO               CO       CH4                2.00e-10    0.00       0.0L  300  300ANIST
 224 CH3      H2CO              HCO      CH4                1.34e-15    5.05    1636.0L  300 2500ANIST
 225 CH3      HNO               NO       CH4                1.44e-11    0.50       0.0L   10  913C    
 226 CH3      O2                HCO      H2O                1.66e-12    0.00       0.0M 1700 2000ANIST
 227 CH3      O2                H2CO     OH                 5.64e-13    0.00    4500.0C  298 3000BNIST
 228 CH3      O2                O2H      CH2                5.30e-12    0.00   34975.0L 116541000C    
